ENSMUSP00000008812,Rps18
ENSMUSP00000031411,Aldh2 Ahd-1 Ahd1
ENSMUSP00000031617,Rpl6
ENSMUSP00000032143,Rpn1
ENSMUSP00000050838,Hnrnph2 Hnrph2
ENSMUSP00000057664,Rab2a Rab2
ENSMUSP00000004375,Phb2 Bap Bcap37 Rea
ENSMUSP00000010239,Slc3a2 Mdu1
ENSMUSP00000020768,Pgam2
ENSMUSP00000002817,Camk2b
ENSMUSP00000033008,Psma1
ENSMUSP00000028892,Idh3b mCG_9915
ENSMUSP00000025961,Prdx3 Aop1 Mer5
ENSMUSP00000065089,Aldh7a1 Ald7a1
ENSMUSP00000086165,Sri
ENSMUSP00000047960,Atp5l
ENSMUSP00000024897,Vapa Vap33
ENSMUSP00000037576,Sv2a Kiaa0736 Sv2
ENSMUSP00000034983,Atp1b3
ENSMUSP00000026094,Hdgfl3 Hdgfrp3
ENSMUSP00000001240,Agpat3 Lpaat3
ENSMUSP00000026667,Eif4a3 Ddx48
ENSMUSP00000037679,Crocc Kiaa0445
ENSMUSP00000005256,Ndrg1 Ndr1 Ndrl Tdd5
ENSMUSP00000026122,P4hb Pdia1
ENSMUSP00000035158,Tf Trf
ENSMUSP00000003714,Cp mCG_19773
ENSMUSP00000038839,Eif3l Eif3eip Eif3s6ip Paf67
ENSMUSP00000063714,Arhgdia C87222 Gdi1
ENSMUSP00000024206,Gnb3
ENSMUSP00000017831,Rhot1 Arht1
ENSMUSP00000020286,Ppa1 Pp Pyp
ENSMUSP00000072829,Cycs
ENSMUSP00000003754,Calb2
ENSMUSP00000084464,Cnga1 Cncg Cncg1
ENSMUSP00000032069,Add2
ENSMUSP00000085523,Ndufa9
ENSMUSP00000101651,Rnh1 Rnh
ENSMUSP00000021770,Scgn
ENSMUSP00000077794,Pabpc4
ENSMUSP00000001042,Ilf2 Nf45
ENSMUSP00000025955,Eif3a Csma Eif3 Eif3s10
ENSMUSP00000033673,Nono
ENSMUSP00000006764,Aprt
ENSMUSP00000010007,Sdhb
ENSMUSP00000017629,Top2b
ENSMUSP00000020775,Dynll2 Dlc2
ENSMUSP00000020538,Xpo1 Crm1
ENSMUSP00000042602,Apex1 Ape Apex Ref1
ENSMUSP00000109399,Rpl9
ENSMUSP00000050987,Synm Dmn Kiaa0353
ENSMUSP00000076294,Pcbp2 Cbp Hnrnpx Hnrpx
ENSMUSP00000049394,Cbr1 Cbr
ENSMUSP00000042967,Ndufv1
ENSMUSP00000022573,Esd Es10 Sid478
ENSMUSP00000092223,Map1a Mtap1a
ENSMUSP00000021306,Eftud2 mCG_49887
ENSMUSP00000092658,Rab7a Rab7
ENSMUSP00000013842,Pea15 Pea15a
ENSMUSP00000029549,Tpm3 Tpm-5 Tpm5
ENSMUSP00000096932,Ube2n Blu
ENSMUSP00000036299,Slc32a1 Vgat Viaat
ENSMUSP00000023477,Dnm1l Drp1
ENSMUSP00000019317,Rab5c
ENSMUSP00000032220,Cops7a Csn7a
ENSMUSP00000040591,Aldh5a1
ENSMUSP00000029515,S100a11 S100c
ENSMUSP00000034560,Ppp2r1b
ENSMUSP00000049532,Gja8
ENSMUSP00000096829,Csnk2a1 Ckiia
ENSMUSP00000022268,Pdhb
ENSMUSP00000023039,St13
ENSMUSP00000029699,Lmna Lmn1
ENSMUSP00000029850,Cryz
ENSMUSP00000005041,U2af2 mCG_22027
ENSMUSP00000025519,Camk2a
ENSMUSP00000030185,Tpm1
ENSMUSP00000017365,Psmd3 P91a Tstap91a
ENSMUSP00000023462,Mapk1 Erk2 Mapk Prkm1
ENSMUSP00000051619,Mapk3 Erk1 Prkm3
ENSMUSP00000062392,Prkca mCG_140727
ENSMUSP00000030538,Ddost
ENSMUSP00000031673,Gngt1 Gng1
ENSMUSP00000034848,Psma4
ENSMUSP00000094863,Gpx4
ENSMUSP00000034547,Acat1
ENSMUSP00000021807,Dek
ENSMUSP00000021412,Psma6
ENSMUSP00000025408,Afg3l2
ENSMUSP00000020361,Ndufs7
ENSMUSP00000021993,Uqcrb mCG_67985
ENSMUSP00000041826,Coro2b
